Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1744
2023,"David Peralta","LAD",8,25,22,3,3,0,0,0,2,1,2,0,7,0,1,0,0,1,0,0.136363636,2136
2023,"Tommy Pham","NYM",3,14,13,6,2,1,0,3,3,5,1,0,3,0,0,0,0,1,0,0.461538461,2967
2023,"Anthony Rizzo","NYY",2,9,8,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,3473
2023,"Joey Votto","CIN",1,2,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,4314
2023,"Jason Heyward","LAD",3,5,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2,4940
2023,"Josh Donaldson","NYY",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5038
2023,"Brandon Crawford","SFG",1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5343
2023,"Jose Altuve","HOU",80,367,322,102,67,17,2,16,68,49,40,0,66,4,1,0,9,10,1,0.316770186,5417
2023,"Avisail Garcia","MIA",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",7,12,12,3,2,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0.25,5827
2023,"Jean Segura","MIA",2,8,8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.125,5933
2023,"Eduardo Escobar","2 Tms",3,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,6153
2023,"Miguel Rojas","LAD",2,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,7802
2023,"Charlie Blackmon","COL",72,331,290,79,48,19,5,7,47,36,30,0,44,7,4,0,4,4,0,0.272413793,7859
2023,"Donovan Solano","MIN",28,107,93,30,22,6,0,2,10,10,10,0,25,4,0,0,1,0,0,0.322580645,8623
2023,"Elvis Andrus","CHW",17,68,67,21,13,7,0,1,7,9,1,0,16,0,0,0,3,2,0,0.313432835,8709
2023,"AJ Pollock","SEA",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9256
2023,"Evan Longoria","ARI",2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9368
2023,"Yan Gomes","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9627
2023,"Christian Vazquez","MIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9774
2023,"Andrew McCutchen","PIT",22,101,82,22,18,2,0,2,10,5,18,0,19,0,1,0,1,2,2,0.268292682,9847
2023,"DJ LeMahieu","NYY",58,260,226,53,35,8,2,8,32,21,31,0,56,2,1,0,7,2,1,0.234513274,9874
2023,"Darin Ruf","MIL",3,11,9,1,1,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0.111111111,9929
2023,"Trayce Thompson","LAD",2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9952
2023,"Randal Grichuk","2 Tms",8,35,34,8,2,4,0,2,7,4,1,0,9,0,0,0,0,0,0,0.235294117,10243
2023,"Rafael Ortega","NYM",5,20,18,3,3,0,0,0,2,1,2,0,5,0,0,0,0,0,0,0.166666666,10323
2023,"Enrique Hernandez","BOS",3,10,9,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10642
2023,"Jurickson Profar","2 Tms",69,316,276,61,43,13,0,5,29,20,31,0,58,6,2,0,5,1,0,0.221014492,10815
2023,"Adam Duvall","BOS",2,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.333333333,10950
2023,"Kole Calhoun","CLE",1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.25,11200
2023,"Jonathan Schoop","DET",6,11,10,3,2,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0.3,11265
