Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1744
2023,"Tommy Pham","NYM",3,11,11,5,2,0,0,3,3,4,0,0,3,0,0,0,0,0,0,0.454545454,2967
2023,"Anthony Rizzo","NYY",1,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3473
2023,"Jason Heyward","LAD",1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4940
2023,"Jose Altuve","HOU",40,99,87,27,16,7,1,3,21,5,10,0,14,2,0,0,2,3,1,0.310344827,5417
2023,"Wilmer Flores","SFG",6,8,8,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.125,5827
2023,"Eduardo Escobar","LAA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6153
2023,"Charlie Blackmon","COL",41,84,71,20,12,6,1,1,12,6,11,0,6,1,1,0,2,1,0,0.28169014,7859
2023,"Donovan Solano","MIN",25,72,63,20,12,6,0,2,7,10,7,0,17,2,0,0,0,0,0,0.317460317,8623
2023,"Elvis Andrus","CHW",6,14,13,4,3,1,0,0,3,0,1,0,3,0,0,0,0,1,0,0.307692307,8709
2023,"Evan Longoria","ARI",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9368
2023,"Yan Gomes","CHC",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9627
2023,"Andrew McCutchen","PIT",12,35,26,6,4,1,0,1,4,3,8,0,4,0,1,0,0,1,1,0.23076923,9847
2023,"DJ LeMahieu","NYY",23,52,44,11,8,1,0,2,7,6,7,0,11,0,1,0,1,0,0,0.25,9874
2023,"Darin Ruf","MIL",3,8,6,1,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0.166666666,9929
2023,"Trayce Thompson","LAD",1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9952
2023,"Randal Grichuk","2 Tms",5,13,12,3,1,1,0,1,2,1,1,0,2,0,0,0,0,0,0,0.25,10243
2023,"Rafael Ortega","NYM",3,7,7,2,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0.285714285,10323
2023,"Enrique Hernandez","BOS",2,7,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10642
2023,"Jurickson Profar","2 Tms",38,100,91,26,16,8,0,2,10,8,6,0,13,2,1,0,1,0,0,0.285714285,10815
2023,"Adam Duvall","BOS",2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,10950
2023,"Kole Calhoun","CLE",1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,11200
2023,"Jonathan Schoop","DET",6,7,6,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333333333,11265
2023,"Whit Merrifield","TOR",17,45,43,11,6,3,0,2,5,6,2,0,8,0,0,0,0,0,0,0.255813953,11281
2023,"Mark Canha","MIL",6,20,18,7,5,0,0,2,5,2,2,0,0,0,0,0,0,3,0,0.388888888,11445
2023,"Christian Yelich","MIL",65,112,103,27,20,5,0,2,10,9,9,1,22,0,0,0,1,6,0,0.262135922,11477
2023,"Joc Pederson","SFG",4,6,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11899
2023,"Nick Martini","CIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12005
2023,"Jon Berti","MIA",16,43,41,13,11,1,0,1,8,3,2,0,11,0,0,0,0,2,2,0.31707317,12037
2023,"Max Kepler","MIN",8,9,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,12144
2023,"Nick Ahmed","ARI",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,12147
2023,"Austin Barnes","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12158
2023,"Xander Bogaerts","SDP",15,46,43,12,8,2,1,1,7,5,1,0,6,0,2,0,0,1,0,0.279069767,12161
2023,"Taylor Motter","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12399
2023,"Kevin Pillar","ATL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12434
2023,"Kolten Wong","2 Tms",2,2,2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.5,12532
2023,"Marcus Semien","TEX",95,210,187,53,32,16,2,3,32,17,20,1,33,3,0,0,0,4,1,0.283422459,12533
2023,"George Springer","TOR",57,115,99,22,17,2,0,3,15,12,14,0,18,0,1,0,3,4,1,0.222222222,12856
2023,"Brandon Nimmo","NYM",112,235,213,61,43,14,1,3,18,18,14,0,48,6,2,0,2,0,0,0.286384976,12927
2023,"Javier Baez","DET",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,12979
2023,"Jorge Polanco","MIN",4,6,5,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.2,13152
2023,"Ildemaro Vargas","WSN",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13324
2023,"Luke Maile","CIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13355
2023,"Patrick Wisdom","CHC",3,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333,13602
2023,"Mookie Betts","LAD",81,184,150,45,17,14,0,14,42,33,30,3,22,3,1,0,2,6,0,0.3,13611
2023,"Ketel Marte","ARI",46,147,133,44,29,7,3,5,22,8,12,1,12,2,0,0,5,2,2,0.330827067,13613
2023,"Tyrone Taylor","MIL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13675
2023,"Chris Taylor","LAD",2,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,13757
2023,"Rob Refsnyder","BOS",27,68,55,15,14,0,1,0,11,9,12,0,8,1,0,0,1,3,1,0.272727272,13770
2023,"Matt Duffy","KCR",5,13,11,3,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.272727272,13836
2023,"Eric Haase","DET",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14111
2023,"Joey Gallo","MIN",5,5,4,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0.25,14128
2023,"Byron Buxton","MIN",6,18,16,1,1,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0.0625,14161
2023,"Carlos Correa","MIN",12,27,25,8,6,2,0,0,3,2,1,1,1,1,0,0,0,0,0,0.32,14162
2023,"Jorge Soler","MIA",10,18,15,2,0,1,0,1,3,1,3,1,5,0,0,0,0,0,0,0.133333333,14221
2023,"Raimel Tapia","BOS",4,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14350
2023,"Manuel Margot","TBR",1,3,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333,14712
2023,"Kyle Farmer","MIN",3,3,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,14813
