Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2136
2023,"Tommy Pham","NYM",11,47,38,8,5,3,0,0,6,2,8,0,6,1,0,0,1,2,0,0.210526315,2967
2023,"Anthony Rizzo","NYY",9,38,34,5,5,0,0,0,5,0,3,0,15,1,0,0,0,0,0,0.147058823,3473
2023,"Jason Heyward","LAD",2,6,6,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5,4940
2023,"Giancarlo Stanton","NYY",10,47,41,5,1,1,0,3,4,7,5,2,13,1,0,0,2,0,0,0.121951219,4949
2023,"Josh Donaldson","NYY",2,8,8,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0.125,5038
2023,"Justin Turner","BOS",40,173,154,48,27,13,0,8,29,31,15,0,31,4,0,0,3,1,0,0.311688311,5235
2023,"Robbie Grossman","TEX",18,82,72,20,14,3,0,3,12,14,8,0,26,0,2,0,0,0,0,0.277777777,5254
2023,"Aaron Hicks","NYY",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297
2023,"Freddie Freeman","LAD",161,730,637,211,121,59,2,29,131,102,72,12,121,16,5,0,14,23,1,0.331240188,5361
2023,"Jose Altuve","HOU",9,42,37,10,5,4,0,1,8,2,4,0,4,1,0,0,0,4,1,0.27027027,5417
2023,"Avisail Garcia","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",29,131,122,42,25,9,0,8,15,18,7,0,17,1,0,1,4,0,0,0.344262295,5827
2023,"Jean Segura","MIA",2,8,7,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,5933
2023,"Eduardo Escobar","2 Tms",4,10,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.111111111,6153
2023,"Salvador Perez","KCR",10,40,37,8,4,2,0,2,4,6,1,1,11,1,1,0,1,0,0,0.216216216,7304
2023,"Charlie Blackmon","COL",4,19,16,5,4,1,0,0,2,1,3,0,2,0,0,0,2,0,1,0.3125,7859
2023,"Josh Harrison","PHI",2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8202
2023,"Donovan Solano","MIN",25,94,76,24,14,7,0,3,16,11,16,0,18,2,0,0,3,0,0,0.315789473,8623
2023,"Elvis Andrus","CHW",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25,8709
2023,"Paul Goldschmidt","STL",119,537,468,125,81,24,0,20,67,64,65,5,129,1,3,0,11,9,2,0.267094017,9218
2023,"Starling Marte","NYM",43,182,166,36,29,5,0,2,19,13,11,0,35,4,0,1,6,11,3,0.216867469,9241
2023,"Evan Longoria","ARI",2,4,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9368
2023,"Andrew McCutchen","PIT",10,46,39,15,9,5,0,1,7,5,5,0,9,1,1,0,0,2,0,0.384615384,9847
2023,"Darin Ruf","2 Tms",2,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.2,9929
2023,"Trayce Thompson","2 Tms",2,3,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,9952
2023,"Christian Bethancourt","TBR",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028
2023,"Chris Owings","PIT",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10030
2023,"Mike Trout","LAA",59,266,229,60,35,11,0,14,38,34,30,2,77,6,1,0,2,1,0,0.262008733,10155
2023,"Shelby Miller","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10197
2023,"Billy Hamilton","CHW",1,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10199
2023,"Randal Grichuk","COL",7,33,30,7,4,2,0,1,5,2,3,0,6,0,0,0,0,0,1,0.233333333,10243
2023,"Brandon Belt","TOR",19,85,71,20,10,4,0,6,16,10,13,0,27,1,0,0,2,0,0,0.28169014,10264
2023,"Jon Singleton","MIL",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10441
2023,"Enrique Hernandez","LAD",1,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",5,12,10,2,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0.2,10642
2023,"Jurickson Profar","2 Tms",33,148,131,35,22,10,2,1,18,15,15,0,23,0,2,0,4,0,0,0.267175572,10815
2023,"Jonathan Schoop","DET",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11265
2023,"Whit Merrifield","TOR",6,27,25,4,4,0,0,0,2,3,2,0,5,0,0,0,1,0,0,0.16,11281
2023,"Jesus Aguilar","OAK",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11342
2023,"Mark Canha","2 Tms",6,22,18,3,0,3,0,0,1,4,3,0,2,1,0,0,1,1,0,0.166666666,11445
