Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2136
2023,"Tommy Pham","NYM",5,10,8,1,1,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0.125,2967
2023,"Anthony Rizzo","NYY",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3473
2023,"Giancarlo Stanton","NYY",4,7,7,3,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0.428571428,4949
2023,"Justin Turner","BOS",30,75,68,22,10,7,0,5,14,13,6,0,14,1,0,0,2,1,0,0.323529411,5235
2023,"Robbie Grossman","TEX",13,43,33,13,9,2,0,2,6,12,8,0,14,0,2,0,0,0,0,0.393939393,5254
2023,"Freddie Freeman","LAD",99,218,197,66,36,18,0,12,41,39,15,0,40,6,0,0,4,10,1,0.33502538,5361
2023,"Jose Altuve","HOU",5,14,12,1,0,1,0,0,2,0,2,0,2,0,0,0,0,0,1,0.083333333,5417
2023,"Avisail Garcia","MIA",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",24,70,66,28,18,7,0,3,8,10,2,0,10,1,0,1,3,0,0,0.424242424,5827
2023,"Jean Segura","MIA",2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5933
2023,"Eduardo Escobar","NYM",2,5,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,6153
2023,"Salvador Perez","KCR",7,19,17,3,3,0,0,0,1,1,1,1,4,0,1,0,0,0,0,0.176470588,7304
2023,"Charlie Blackmon","COL",1,4,3,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.333333333,7859
2023,"Donovan Solano","MIN",17,38,35,7,5,2,0,0,2,3,3,0,7,0,0,0,0,0,0,0.2,8623
2023,"Paul Goldschmidt","STL",62,137,120,33,24,6,0,3,15,13,16,4,34,0,1,0,1,2,0,0.275,9218
2023,"Starling Marte","NYM",27,61,57,12,10,1,0,1,2,5,3,0,14,0,0,1,1,2,1,0.210526315,9241
2023,"Evan Longoria","ARI",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9368
2023,"Andrew McCutchen","PIT",9,21,20,6,4,2,0,0,3,1,1,0,5,0,0,0,0,2,0,0.3,9847
2023,"Darin Ruf","2 Tms",2,4,4,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0.25,9929
2023,"Mike Trout","LAA",30,62,57,18,13,3,0,2,9,6,5,2,18,0,0,0,0,1,0,0.315789473,10155
2023,"Billy Hamilton","CHW",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10199
2023,"Randal Grichuk","COL",4,10,9,4,2,1,0,1,2,1,1,0,1,0,0,0,0,0,1,0.444444444,10243
2023,"Brandon Belt","TOR",8,13,13,5,4,1,0,0,2,1,0,0,5,0,0,0,0,0,0,0.384615384,10264
2023,"Enrique Hernandez","LAD",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",5,10,10,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,10642
2023,"Jurickson Profar","2 Tms",20,37,32,9,4,4,1,0,4,3,5,0,6,0,0,0,2,0,0,0.28125,10815
2023,"Jonathan Schoop","DET",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11265
