Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136
2023,"Tommy Pham","NYM",11,37,30,7,4,3,0,0,4,2,6,0,5,1,0,0,1,1,0,0.233333333,2967
2023,"Anthony Rizzo","NYY",9,37,33,4,4,0,0,0,5,0,3,0,15,1,0,0,0,0,0,0.121212121,3473
2023,"Jason Heyward","LAD",2,6,6,3,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0.5,4940
2023,"Giancarlo Stanton","NYY",10,40,34,2,0,0,0,2,2,5,5,2,13,1,0,0,2,0,0,0.058823529,4949
2023,"Josh Donaldson","NYY",2,8,8,1,0,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0.125,5038
2023,"Justin Turner","BOS",37,98,86,26,17,6,0,3,15,18,9,0,17,3,0,0,1,0,0,0.302325581,5235
2023,"Robbie Grossman","TEX",16,39,39,7,5,1,0,1,6,2,0,0,12,0,0,0,0,0,0,0.179487179,5254
2023,"Aaron Hicks","NYY",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5297
2023,"Freddie Freeman","LAD",150,512,440,145,85,41,2,17,90,63,57,12,81,10,5,0,10,13,0,0.329545454,5361
2023,"Jose Altuve","HOU",9,28,25,9,5,3,0,1,6,2,2,0,2,1,0,0,0,4,0,0.36,5417
2023,"Wilmer Flores","SFG",28,61,56,14,7,2,0,5,7,8,5,0,7,0,0,0,1,0,0,0.25,5827
2023,"Jean Segura","MIA",2,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5933
2023,"Eduardo Escobar","2 Tms",3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6153
2023,"Salvador Perez","KCR",8,21,20,5,1,2,0,2,3,5,0,0,7,1,0,0,1,0,0,0.25,7304
2023,"Charlie Blackmon","COL",4,15,13,4,3,1,0,0,2,1,2,0,2,0,0,0,1,0,0,0.307692307,7859
2023,"Josh Harrison","PHI",2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8202
2023,"Donovan Solano","MIN",18,56,41,17,9,5,0,3,14,8,13,0,11,2,0,0,3,0,0,0.414634146,8623
2023,"Elvis Andrus","CHW",1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.25,8709
2023,"Paul Goldschmidt","STL",115,400,348,92,57,18,0,17,52,51,49,1,95,1,2,0,10,7,2,0.264367816,9218
2023,"Starling Marte","NYM",39,121,109,24,19,4,0,1,17,8,8,0,21,4,0,0,5,9,2,0.220183486,9241
2023,"Evan Longoria","ARI",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9368
2023,"Andrew McCutchen","PIT",8,25,19,9,5,3,0,1,4,4,4,0,4,1,1,0,0,0,0,0.47368421,9847
2023,"Darin Ruf","SFG",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9929
2023,"Trayce Thompson","2 Tms",2,3,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,9952
2023,"Christian Bethancourt","TBR",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028
2023,"Chris Owings","PIT",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10030
2023,"Mike Trout","LAA",57,204,172,42,22,8,0,12,29,28,25,0,59,6,1,0,2,0,0,0.244186046,10155
2023,"Shelby Miller","LAD",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10197
2023,"Billy Hamilton","CHW",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10199
2023,"Randal Grichuk","COL",7,23,21,3,2,1,0,0,3,1,2,0,5,0,0,0,0,0,0,0.142857142,10243
2023,"Brandon Belt","TOR",19,72,58,15,6,3,0,6,14,9,13,0,22,1,0,0,2,0,0,0.258620689,10264
2023,"Jon Singleton","MIL",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10441
2023,"Enrique Hernandez","LAD",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10472
2023,"Carlos Perez","OAK",2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10642
2023,"Jurickson Profar","2 Tms",32,111,99,26,18,6,1,1,14,12,10,0,17,0,2,0,2,0,0,0.262626262,10815
2023,"Whit Merrifield","TOR",6,20,19,3,3,0,0,0,2,3,1,0,4,0,0,0,1,0,0,0.157894736,11281
2023,"Mark Canha","2 Tms",6,13,10,2,0,2,0,0,1,2,2,0,0,1,0,0,0,1,0,0.2,11445
2023,"Christian Yelich","MIL",1,3,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,11477
2023,"Michael A. Taylor","MIN",4,2,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,11489
2023,"Manny Machado","SDP",19,66,60,8,5,0,0,3,7,6,6,0,17,0,0,0,4,1,0,0.133333333,11493
2023,"Brandon Drury","LAA",8,28,26,6,2,3,1,0,2,1,2,0,5,0,0,0,2,0,0,0.23076923,11615
2023,"Nick Castellanos","PHI",16,45,44,9,8,1,0,0,3,2,1,0,12,0,0,0,4,1,0,0.204545454,11737
2023,"Joc Pederson","SFG",21,76,62,21,12,5,0,4,13,10,11,0,13,2,1,0,1,0,0,0.338709677,11899
2023,"Nick Martini","CIN",4,8,7,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0.142857142,12005
2023,"Jon Berti","MIA",5,8,8,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.125,12037
2023,"Juniel Querecuto","STL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12140
2023,"Max Kepler","MIN",4,11,11,3,1,1,0,1,4,2,0,0,1,0,0,0,0,0,0,0.272727272,12144
2023,"Nick Ahmed","ARI",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,12147
2023,"Eddie Rosario","ATL",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12155
2023,"Rougned Odor","SDP",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12282
2023,"Jace Peterson","2 Tms",8,27,25,3,2,0,0,1,3,5,1,0,6,0,1,0,1,1,0,0.12,12325
2023,"Kevin Pillar","ATL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12434
2023,"Kolten Wong","2 Tms",5,17,14,2,1,0,0,1,4,4,2,0,2,1,0,0,0,0,0,0.142857142,12532
2023,"Eugenio Suarez","SEA",18,73,62,14,9,2,0,3,9,10,10,0,25,1,0,0,0,0,0,0.225806451,12552
2023,"George Springer","TOR",2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,12856
2023,"James McCann","BAL",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12859
2023,"Francisco Lindor","NYM",66,230,209,44,28,11,0,5,34,21,15,0,51,4,2,0,0,11,1,0.210526315,12916
2023,"Javier Baez","DET",23,72,68,11,9,1,0,1,7,3,2,0,19,2,0,0,0,3,0,0.161764705,12979
2023,"Jackie Bradley Jr.","KCR",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12984
2023,"Josh Bell","MIA",21,76,66,17,14,2,0,1,6,7,7,1,17,1,1,0,1,0,0,0.257575757,13145
2023,"Jorge Polanco","MIN",38,129,104,25,13,6,0,6,15,18,22,0,38,0,3,0,1,1,0,0.240384615,13152
2023,"Ildemaro Vargas","WSN",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13324
2023,"Jose Ramirez","CLE",38,117,106,27,20,6,1,0,8,4,11,4,16,0,0,0,0,6,1,0.254716981,13510
2023,"Jesse Winker","MIL",32,120,99,18,16,2,0,0,11,12,16,0,28,4,1,0,0,0,0,0.181818181,13590
2023,"Patrick Wisdom","CHC",2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13602
2023,"Ketel Marte","ARI",99,392,336,87,52,11,5,19,59,57,50,1,74,2,4,0,9,5,0,0.258928571,13613
2023,"Jeimer Candelario","WSN",13,38,32,10,8,1,0,1,4,4,2,0,4,2,2,0,0,2,0,0.3125,13621
2023,"Corey Seager","TEX",111,370,321,107,52,29,0,26,64,71,42,9,55,2,5,0,5,2,0,0.333333333,13624
2023,"Tyrone Taylor","MIL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13675
2023,"Jacob Stallings","MIA",4,6,5,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.2,13723
2023,"Chris Taylor","LAD",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13757
2023,"Travis Jankowski","TEX",21,75,67,14,12,2,0,0,8,5,7,0,13,1,0,0,1,3,0,0.208955223,13768
2023,"Rob Refsnyder","BOS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13770
2023,"Joey Gallo","MIN",5,8,8,2,1,0,0,1,3,2,0,0,4,0,0,0,0,0,0,0.25,14128
2023,"Byron Buxton","MIN",4,14,14,3,2,0,0,1,1,2,0,0,6,0,0,0,0,1,0,0.214285714,14161
2023,"Carlos Correa","MIN",39,130,120,23,13,4,1,5,9,13,10,0,33,0,0,0,8,0,0,0.191666666,14162
2023,"Jorge Soler","MIA",94,319,281,67,36,15,0,16,38,39,33,0,81,3,2,0,10,1,0,0.238434163,14221
2023,"Mitch Haniger","SFG",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14274
2023,"Matt Olson","ATL",63,225,185,45,22,6,1,16,37,34,39,2,59,1,0,0,4,1,0,0.243243243,14344
2023,"Raimel Tapia","BOS",1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14350
2023,"Joey Meneses","WSN",11,32,31,6,3,1,0,2,5,6,0,0,11,1,0,0,0,0,0,0.193548387,14366
2023,"Harold Ramirez","TBR",5,8,8,3,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0.375,14387
2023,"Jake Cave","PHI",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14477
2023,"Anthony Santander","BAL",10,32,27,10,5,3,0,2,7,5,3,1,3,2,0,0,0,1,1,0.37037037,14551
2023,"Manuel Margot","TBR",1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,14712
