Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",4,18,15,5,2,3,0,0,2,1,1,0,5,1,1,0,0,0,0,0.333333333,1744
2023,"David Peralta","LAD",6,21,19,2,1,1,0,0,2,3,1,0,5,1,0,0,0,0,0,0.105263157,2136
2023,"Carlos Santana","2 Tms",59,258,231,56,31,12,1,12,35,36,26,0,41,0,1,0,8,0,0,0.242424242,2396
2023,"Nelson Cruz","SDP",1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25,2434
2023,"Tommy Pham","2 Tms",48,211,189,46,25,13,2,6,27,34,18,0,49,1,3,0,9,11,2,0.243386243,2967
2023,"Anthony Rizzo","NYY",68,289,256,68,47,10,0,11,31,34,25,1,59,7,1,0,7,0,3,0.265625,3473
2023,"Joey Votto","CIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4314
2023,"Mike Moustakas","2 Tms",5,16,14,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,4892
2023,"Jason Heyward","LAD",6,17,13,2,2,0,0,0,2,0,3,0,2,0,0,0,0,1,0,0.153846153,4940
2023,"Giancarlo Stanton","NYY",16,68,60,13,7,2,0,4,9,7,7,1,15,0,1,0,0,0,0,0.216666666,4949
2023,"Josh Donaldson","NYY",1,5,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5038
2023,"Justin Turner","BOS",101,439,392,102,71,18,0,13,55,61,35,0,74,7,5,0,6,3,1,0.260204081,5235
2023,"Robbie Grossman","TEX",6,24,15,4,2,0,0,2,6,4,9,0,6,0,0,0,1,0,0,0.266666666,5254
2023,"Aaron Hicks","NYY",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5297
2023,"Ji Man Choi","2 Tms",3,11,10,3,1,1,0,1,2,1,1,0,5,0,0,0,0,0,0,0.3,5452
2023,"Wilmer Flores","SFG",48,195,170,44,26,8,0,10,21,26,20,0,20,4,1,0,8,0,0,0.258823529,5827
2023,"Eduardo Escobar","2 Tms",2,5,3,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0.333333333,6153
2023,"J.D. Martinez","LAD",17,75,72,14,6,3,0,5,7,12,2,0,23,0,1,0,2,0,0,0.194444444,6184
2023,"Salvador Perez","KCR",76,313,292,79,54,9,0,16,36,46,7,2,76,7,5,0,5,0,0,0.270547945,7304
2023,"Charlie Blackmon","COL",13,55,46,13,8,4,0,1,7,3,5,0,8,4,0,0,0,0,0,0.282608695,7859
2023,"Ehire Adrianza","ATL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",17,59,53,14,12,2,0,0,5,0,2,0,13,4,0,0,2,0,0,0.264150943,8623
