Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1744
2023,"Carlos Santana","2 Tms",31,59,52,17,10,3,0,4,10,12,6,0,8,0,1,0,0,0,0,0.326923076,2396
2023,"Tommy Pham","2 Tms",28,72,65,14,8,5,0,1,9,7,6,0,14,0,1,0,5,4,1,0.215384615,2967
2023,"Anthony Rizzo","NYY",29,65,57,19,15,3,0,1,7,7,7,0,10,1,0,0,1,0,0,0.333333333,3473
2023,"Mike Moustakas","2 Tms",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4892
2023,"Giancarlo Stanton","NYY",8,17,14,3,2,0,0,1,2,1,3,1,1,0,0,0,0,0,0,0.214285714,4949
2023,"Justin Turner","BOS",52,86,73,18,11,4,0,3,11,10,12,0,17,1,0,0,2,0,0,0.246575342,5235
2023,"Robbie Grossman","TEX",5,16,10,3,1,0,0,2,5,4,6,0,4,0,0,0,1,0,0,0.3,5254
2023,"Ji Man Choi","SDP",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5452
2023,"Wilmer Flores","SFG",27,51,46,9,3,4,0,2,5,5,5,0,6,0,0,0,3,0,0,0.195652173,5827
2023,"Eduardo Escobar","LAA",1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,6153
2023,"J.D. Martinez","LAD",11,34,32,3,2,0,0,1,2,3,1,0,11,0,1,0,2,0,0,0.09375,6184
2023,"Salvador Perez","KCR",30,48,45,10,6,1,0,3,6,8,1,1,14,2,0,0,1,0,0,0.222222222,7304
2023,"Charlie Blackmon","COL",9,16,13,5,4,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0.384615384,7859
2023,"Donovan Solano","MIN",9,15,15,5,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333333333,8623
2023,"Paul Goldschmidt","STL",15,33,29,11,7,2,0,2,5,5,4,0,7,0,0,0,1,0,0,0.379310344,9218
2023,"AJ Pollock","SFG",1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9256
2023,"Nolan Arenado","STL",21,56,53,10,6,4,0,0,3,4,2,1,7,0,1,0,2,0,0,0.188679245,9777
2023,"Andrew McCutchen","PIT",45,105,87,22,14,5,0,3,12,9,17,0,19,1,0,0,2,1,0,0.252873563,9847
2023,"Darin Ruf","SFG",3,8,4,1,0,1,0,0,1,1,4,0,1,0,0,0,0,0,0,0.25,9929
2023,"Trayce Thompson","2 Tms",3,4,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,9952
