Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",4,17,14,5,2,3,0,0,2,1,1,0,4,1,1,0,0,0,0,0.357142857,1744
2023,"David Peralta","LAD",6,21,19,2,1,1,0,0,2,3,1,0,5,1,0,0,0,0,0,0.105263157,2136
2023,"Carlos Santana","2 Tms",56,199,179,39,21,9,1,8,25,24,20,0,33,0,0,0,8,0,0,0.217877094,2396
2023,"Nelson Cruz","SDP",1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25,2434
2023,"Tommy Pham","2 Tms",47,139,124,32,17,8,2,5,18,27,12,0,35,1,2,0,4,7,1,0.258064516,2967
2023,"Anthony Rizzo","NYY",66,224,199,49,32,7,0,10,24,27,18,1,49,6,1,0,6,0,3,0.246231155,3473
2023,"Joey Votto","CIN",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4314
2023,"Mike Moustakas","2 Tms",5,14,12,0,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,4892
2023,"Jason Heyward","LAD",6,17,13,2,2,0,0,0,2,0,3,0,2,0,0,0,0,1,0,0.153846153,4940
2023,"Giancarlo Stanton","NYY",16,51,46,10,5,2,0,3,7,6,4,0,14,0,1,0,0,0,0,0.217391304,4949
2023,"Josh Donaldson","NYY",1,5,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5038
2023,"Justin Turner","BOS",99,353,319,84,60,14,0,10,44,51,23,0,57,6,5,0,4,3,1,0.263322884,5235
2023,"Robbie Grossman","TEX",3,8,5,1,1,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0.2,5254
2023,"Aaron Hicks","NYY",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5297
2023,"Ji Man Choi","2 Tms",3,10,9,3,1,1,0,1,2,1,1,0,4,0,0,0,0,0,0,0.333333333,5452
2023,"Wilmer Flores","SFG",46,144,124,35,23,4,0,8,16,21,15,0,14,4,1,0,5,0,0,0.282258064,5827
2023,"Eduardo Escobar","2 Tms",2,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6153
2023,"J.D. Martinez","LAD",14,41,40,11,4,3,0,4,5,9,1,0,12,0,0,0,0,0,0,0.275,6184
2023,"Salvador Perez","KCR",75,265,247,69,48,8,0,13,30,38,6,1,62,5,5,0,4,0,0,0.279352226,7304
2023,"Charlie Blackmon","COL",13,39,33,8,4,3,0,1,6,3,4,0,7,2,0,0,0,0,0,0.242424242,7859
2023,"Ehire Adrianza","ATL",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",15,44,38,9,8,1,0,0,5,0,2,0,11,4,0,0,2,0,0,0.236842105,8623
2023,"Paul Goldschmidt","STL",33,117,96,23,15,5,0,3,17,11,18,1,25,2,0,0,0,2,0,0.239583333,9218
2023,"Nolan Arenado","STL",28,77,69,21,12,2,0,7,9,18,5,1,11,1,2,0,5,0,0,0.304347826,9777
2023,"Andrew McCutchen","PIT",71,214,176,39,26,7,0,6,24,23,34,1,50,2,2,0,5,6,1,0.221590909,9847
2023,"DJ LeMahieu","NYY",1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9874
2023,"Darin Ruf","SFG",2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,9929
2023,"Trayce Thompson","2 Tms",6,9,6,1,1,0,0,0,2,0,3,0,4,0,0,0,0,1,0,0.166666666,9952
2023,"Wil Myers","CIN",4,6,5,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,10047
2023,"Mike Trout","LAA",19,61,49,15,8,3,1,3,12,6,11,0,18,0,1,0,2,0,0,0.306122448,10155
2023,"Billy Hamilton","CHW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10199
2023,"Randal Grichuk","2 Tms",5,21,20,6,4,1,0,1,1,2,1,0,4,0,0,0,0,0,0,0.3,10243
2023,"Brandon Belt","TOR",30,117,99,22,9,5,0,8,17,15,17,0,37,0,1,0,0,0,0,0.222222222,10264
2023,"Jon Singleton","HOU",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10441
2023,"Enrique Hernandez","2 Tms",2,3,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333,10472
2023,"Carlos Perez","OAK",5,10,8,1,0,0,0,1,1,1,1,0,3,0,0,1,0,0,0,0.125,10642
2023,"Adam Duvall","BOS",4,8,7,3,0,2,0,1,2,2,1,0,2,0,0,0,0,0,0,0.428571428,10950
2023,"Kole Calhoun","CLE",10,35,29,4,2,1,0,1,2,3,5,0,7,0,1,0,0,0,0,0.137931034,11200
2023,"Jonathan Schoop","DET",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11265
2023,"Jake Marisnick","DET",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11339
2023,"Jesus Aguilar","OAK",5,14,14,3,1,1,0,1,2,1,0,0,5,0,0,0,0,0,0,0.214285714,11342
