Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",6,13,13,2,2,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0.153846153,1744
2023,"David Peralta","LAD",6,7,7,4,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0.571428571,2136
2023,"Nelson Cruz","SDP",11,25,23,5,4,0,0,1,2,3,1,0,9,0,1,0,0,0,0,0.217391304,2434
2023,"Tommy Pham","NYM",15,33,28,7,5,0,0,2,3,2,5,0,5,0,0,0,0,0,1,0.25,2967
2023,"Michael Brantley","HOU",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106
2023,"Joey Votto","CIN",10,13,10,1,1,0,0,0,1,2,2,0,3,1,0,0,0,0,0,0.1,4314
2023,"Mike Moustakas","2 Tms",22,37,34,6,5,0,0,1,4,3,1,0,12,1,1,0,0,0,0,0.176470588,4892
2023,"Jason Heyward","LAD",8,7,6,1,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0.166666666,4940
2023,"Giancarlo Stanton","NYY",3,6,5,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,4949
2023,"Josh Donaldson","2 Tms",12,27,25,5,1,1,0,3,5,7,2,0,6,0,0,0,3,0,0,0.2,5038
2023,"Justin Turner","BOS",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5235
2023,"Robbie Grossman","TEX",2,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,5254
2023,"Aaron Hicks","BAL",10,17,13,4,2,1,0,1,6,3,4,1,6,0,0,0,0,0,0,0.307692307,5297
2023,"Ji Man Choi","PIT",5,8,7,1,0,0,0,1,1,2,0,0,4,0,1,0,1,0,0,0.142857142,5452
2023,"Kyle Higashioka","NYY",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5517
2023,"Avisail Garcia","MIA",7,16,15,3,2,0,1,0,2,1,1,0,4,0,0,0,1,0,0,0.2,5760
2023,"Wilmer Flores","SFG",8,13,11,2,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0.181818181,5827
2023,"Jean Segura","MIA",5,14,13,3,3,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0.23076923,5933
2023,"Eduardo Escobar","2 Tms",7,16,16,4,2,0,0,2,2,6,0,0,5,0,0,0,0,0,0,0.25,6153
2023,"J.D. Martinez","LAD",26,32,26,9,3,2,0,4,5,10,4,0,10,0,2,0,0,0,0,0.346153846,6184
2023,"Travis d'Arnaud","ATL",13,23,20,5,3,1,0,1,3,3,3,0,7,0,0,0,0,0,0,0.25,7739
2023,"Miguel Rojas","LAD",3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666,7802
2023,"Matt Carpenter","SDP",4,4,3,2,1,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0.666666666,8090
2023,"Donovan Solano","MIN",5,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.166666666,8623
2023,"Starling Marte","NYM",3,10,8,3,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.375,9241
2023,"AJ Pollock","SEA",8,20,17,0,0,0,0,0,0,1,2,0,3,0,1,0,0,0,0,0,9256
2023,"Evan Longoria","ARI",32,80,71,18,9,4,0,5,10,13,8,0,26,0,1,0,3,0,0,0.253521126,9368
2023,"Yan Gomes","CHC",10,26,23,5,3,1,1,0,2,2,2,1,6,0,1,0,2,0,0,0.217391304,9627
2023,"Christian Vazquez","MIN",1,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666666,9774
2023,"DJ LeMahieu","NYY",9,19,14,3,3,0,0,0,2,1,4,0,2,1,0,0,0,0,0,0.214285714,9874
2023,"Darin Ruf","2 Tms",6,15,14,4,3,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.285714285,9929
2023,"Trayce Thompson","LAD",7,11,9,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,9952
2023,"Wil Myers","CIN",7,12,12,4,3,0,0,1,2,2,0,0,5,0,0,0,0,0,0,0.333333333,10047
2023,"Randal Grichuk","2 Tms",17,38,34,12,7,3,1,1,7,4,4,0,3,0,0,0,0,0,0,0.352941176,10243
2023,"Brandon Belt","TOR",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10264
2023,"Marcell Ozuna","ATL",31,47,42,14,4,3,0,7,11,12,5,0,7,0,0,0,1,0,0,0.333333333,10324
2023,"Enrique Hernandez","2 Tms",19,37,35,7,5,2,0,0,4,2,2,0,4,0,0,0,0,1,0,0.2,10472
2023,"Carlos Perez","OAK",14,29,28,7,4,1,0,2,2,7,0,0,4,0,1,0,1,0,0,0.25,10642
2023,"Gio Urshela","LAA",2,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,10681
2023,"Corey Dickerson","WSN",6,5,4,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0.25,10762
2023,"Jurickson Profar","SDP",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10815
2023,"Adam Duvall","BOS",28,55,52,15,5,7,0,3,6,10,2,1,23,0,1,0,0,1,0,0.288461538,10950
2023,"Kole Calhoun","CLE",6,13,12,2,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0.166666666,11200
2023,"Jonathan Schoop","DET",5,7,6,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.166666666,11265
2023,"Whit Merrifield","TOR",11,24,22,5,4,1,0,0,1,0,2,0,3,0,0,0,0,1,1,0.227272727,11281
2023,"Jesus Aguilar","OAK",5,11,9,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,11342
2023,"Yasmani Grandal","CHW",12,25,22,2,2,0,0,0,2,0,2,0,8,1,0,0,1,0,0,0.09090909,11368
2023,"Gary Sanchez","SDP",4,11,11,3,1,1,0,1,3,3,0,0,4,0,0,0,0,0,0,0.272727272,11442
2023,"Mark Canha","2 Tms",12,32,27,6,5,1,0,0,1,1,4,0,7,0,1,0,1,1,0,0.222222222,11445
2023,"Christian Yelich","MIL",1,3,3,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0.666666666,11477
2023,"Henry Ramos","CIN",5,16,16,4,4,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0.25,11481
2023,"Michael A. Taylor","MIN",2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11489
2023,"Willson Contreras","STL",29,49,40,11,7,3,0,1,6,11,8,0,10,0,1,0,1,0,0,0.275,11609
2023,"Brandon Drury","LAA",10,21,18,5,4,1,0,0,1,0,3,0,4,0,0,0,2,0,0,0.277777777,11615
2023,"Elias Diaz","COL",14,28,26,5,4,0,0,1,4,2,2,0,6,0,0,0,3,0,0,0.192307692,11680
2023,"Nick Castellanos","PHI",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11737
2023,"J.T. Realmuto","PHI",29,65,62,19,11,2,3,3,11,9,3,2,19,0,0,0,1,1,0,0.306451612,11739
2023,"Joc Pederson","SFG",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11899
2023,"Hanser Alberto","CHW",3,5,5,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0.6,11902
2023,"Nick Martini","CIN",3,5,5,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4,12005
2023,"Jon Berti","MIA",4,10,10,4,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0.4,12037
2023,"Juniel Querecuto","STL",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12140
2023,"Max Kepler","MIN",5,7,7,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.142857142,12144
2023,"Nick Ahmed","ARI",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12147
2023,"Eddie Rosario","ATL",11,15,15,5,3,0,0,2,2,4,0,0,4,0,0,0,0,0,0,0.333333333,12155
2023,"Xander Bogaerts","SDP",34,70,65,23,14,7,0,2,13,5,4,0,11,0,1,0,4,4,0,0.353846153,12161
2023,"Jorge Alfaro","COL",3,5,5,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0.2,12180
2023,"Rougned Odor","SDP",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12282
2023,"Jace Peterson","OAK",6,9,8,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.25,12325
2023,"Kevin Pillar","ATL",6,6,6,1,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0.166666666,12434
2023,"C.J. Cron","2 Tms",9,15,13,1,0,1,0,0,2,1,2,0,3,0,0,0,1,0,0,0.076923076,12546
2023,"Eugenio Suarez","SEA",22,45,39,9,6,1,0,2,5,5,5,0,15,1,0,0,1,0,0,0.23076923,12552
2023,"Trevor Story","BOS",6,9,8,3,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.375,12564
2023,"Brad Miller","TEX",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12775
2023,"George Springer","TOR",3,7,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,12856
2023,"James McCann","BAL",3,10,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12859
2023,"Austin Hedges","TEX",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12976
2023,"Javier Baez","DET",7,14,13,5,4,1,0,0,4,3,1,0,1,0,0,0,0,0,0,0.384615384,12979
2023,"Jackie Bradley Jr.","KCR",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12984
2023,"Teoscar Hernandez","SEA",14,24,24,7,4,3,0,0,2,3,0,0,8,0,0,0,0,0,0,0.291666666,13066
2023,"Josh Bell","CLE",27,53,48,9,4,2,0,3,3,8,5,0,12,0,0,0,1,0,0,0.1875,13145
2023,"Jorge Polanco","MIN",8,16,16,4,2,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0.25,13152
2023,"Max Muncy","LAD",20,60,48,9,4,0,0,5,11,11,9,0,13,3,0,0,1,0,0,0.1875,13301
2023,"Ildemaro Vargas","WSN",8,17,14,4,3,1,0,0,2,3,2,0,2,1,0,0,1,0,0,0.285714285,13324
2023,"Omar Narvaez","NYM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13338
2023,"Tom Murphy","SEA",2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13499
2023,"Jesse Winker","MIL",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13590
2023,"Patrick Wisdom","CHC",11,26,24,4,2,0,0,2,3,3,2,0,14,0,0,0,1,1,0,0.166666666,13602
2023,"Carson Kelly","ARI",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13620
2023,"Jeimer Candelario","WSN",3,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.5,13621
2023,"Tyrone Taylor","MIL",4,9,9,2,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0.222222222,13675
2023,"Chris Taylor","LAD",11,25,22,4,1,3,0,0,2,4,1,0,8,1,1,0,1,1,0,0.181818181,13757
2023,"Rob Refsnyder","BOS",7,14,12,2,1,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0.166666666,13770
2023,"Matt Duffy","KCR",8,22,20,7,5,2,0,0,3,1,1,0,1,1,0,0,1,0,0,0.35,13836
2023,"Joey Wendle","MIA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13853
2023,"Eric Haase","2 Tms",11,24,23,3,1,1,1,0,1,2,1,0,10,0,0,0,0,0,0,0.130434782,14111
2023,"Joey Gallo","MIN",2,3,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,14128
2023,"Daniel Vogelbach","NYM",9,11,10,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,14130
2023,"Carlos Correa","MIN",5,6,4,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0.25,14162
2023,"Andrew Velazquez","LAA",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14196
2023,"Jorge Soler","MIA",2,3,3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.333333333,14221
2023,"Mitch Haniger","SFG",11,20,18,3,2,1,0,0,3,2,2,0,4,0,0,0,1,0,0,0.166666666,14274
2023,"Matt Olson","ATL",4,9,9,2,1,0,0,1,2,1,0,0,2,0,0,0,1,0,0,0.222222222,14344
2023,"Raimel Tapia","2 Tms",2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14350
2023,"Harold Ramirez","TBR",15,25,24,9,7,0,0,2,4,2,0,0,4,1,0,0,0,0,1,0.375,14387
