Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"Miguel Cabrera","DET",50,140,125,25,17,7,0,1,4,9,14,0,27,0,1,0,6,0,0,0.2,1744
2023,"David Peralta","LAD",14,41,40,7,3,2,0,2,4,7,0,0,10,0,1,0,0,0,0,0.175,2136
2023,"Adam Wainwright","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2233
2023,"Nelson Cruz","SDP",8,11,10,4,2,1,0,1,1,3,0,0,3,1,0,0,0,0,0,0.4,2434
2023,"Manny Pina","OAK",2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2829
2023,"Tommy Pham","NYM",13,30,27,6,2,3,1,0,2,5,3,0,8,0,0,0,0,1,0,0.222222222,2967
2023,"Eric Hosmer","CHC",17,50,47,13,10,2,0,1,6,7,3,0,10,0,0,0,3,0,0,0.276595744,3516
2023,"Michael Brantley","HOU",5,11,10,3,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0.3,4106
2023,"Joey Votto","CIN",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314
2023,"Mike Moustakas","COL",5,17,13,4,3,0,0,1,3,1,3,0,4,1,0,0,0,0,0,0.307692307,4892
2023,"Jason Heyward","LAD",26,75,66,20,12,7,0,1,6,8,7,0,12,1,1,0,2,0,1,0.303030303,4940
2023,"Josh Donaldson","MIL",6,19,16,2,1,1,0,0,0,2,3,0,5,0,0,0,0,0,0,0.125,5038
2023,"Robbie Grossman","TEX",26,81,68,13,4,6,0,3,13,8,11,0,17,2,0,0,1,0,0,0.19117647,5254
2023,"Aaron Hicks","2 Tms",18,54,48,9,8,1,0,0,6,1,6,0,9,0,0,0,1,0,0,0.1875,5297
2023,"Brandon Crawford","SFG",23,77,65,14,9,1,1,3,7,12,10,0,17,0,2,0,3,2,0,0.215384615,5343
2023,"Ji Man Choi","2 Tms",7,16,13,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,5452
2023,"Kyle Higashioka","NYY",1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5517
2023,"Avisail Garcia","MIA",2,3,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.5,5760
2023,"Wilmer Flores","SFG",3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5827
2023,"Jean Segura","MIA",24,71,65,15,13,0,0,2,5,3,6,0,13,0,0,0,2,2,1,0.23076923,5933
2023,"Eduardo Escobar","2 Tms",13,34,32,5,3,2,0,0,5,4,2,0,9,0,0,0,0,1,0,0.15625,6153
2023,"Travis d'Arnaud","ATL",16,54,49,6,5,1,0,0,0,4,3,0,14,2,0,0,0,0,0,0.122448979,7739
2023,"Miguel Rojas","LAD",3,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,7802
2023,"Charlie Blackmon","COL",1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7859
2023,"Matt Carpenter","SDP",20,65,53,9,4,5,0,0,5,6,8,0,16,1,3,0,0,0,0,0.16981132,8090
2023,"Josh Harrison","PHI",8,12,11,2,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0.181818181,8202
2023,"Ehire Adrianza","ATL",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",9,26,23,3,2,1,0,0,1,1,1,0,8,2,0,0,0,0,0,0.130434782,8623
2023,"Elvis Andrus","CHW",15,45,43,9,7,2,0,0,3,3,2,0,12,0,0,0,2,0,0,0.209302325,8709
2023,"Starling Marte","NYM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9241
2023,"AJ Pollock","SEA",10,23,20,6,2,3,0,1,3,1,3,0,8,0,0,0,0,0,0,0.3,9256
2023,"Evan Longoria","ARI",4,11,9,4,2,1,0,1,1,3,2,0,2,0,0,0,0,0,0,0.444444444,9368
2023,"Yan Gomes","CHC",12,34,32,7,6,0,0,1,2,6,1,0,6,0,1,0,1,0,0,0.21875,9627
2023,"Christian Vazquez","MIN",18,47,44,6,6,0,0,0,6,0,3,0,4,0,0,0,3,0,0,0.136363636,9774
2023,"Andrew McCutchen","PIT",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9847
2023,"DJ LeMahieu","NYY",3,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,9874
2023,"Trayce Thompson","2 Tms",13,27,25,8,3,2,0,3,3,7,2,0,8,0,0,0,1,0,0,0.32,9952
2023,"Christian Bethancourt","TBR",13,41,40,10,7,2,0,1,7,6,0,0,15,0,1,0,0,0,0,0.25,10028
2023,"Chris Owings","PIT",1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10030
2023,"Wil Myers","CIN",8,25,23,2,1,0,0,1,1,2,2,0,8,0,0,0,1,1,0,0.086956521,10047
2023,"Tucker Barnhart","CHC",1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10200
2023,"Randal Grichuk","2 Tms",20,72,66,22,12,8,0,2,9,7,3,0,15,2,1,0,2,1,0,0.333333333,10243
2023,"Brandon Belt","TOR",8,29,26,5,4,1,0,0,2,1,2,0,11,1,0,0,0,0,0,0.192307692,10264
2023,"Rafael Ortega","NYM",3,9,6,1,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0.166666666,10323
2023,"Marcell Ozuna","ATL",25,76,62,18,11,2,0,5,9,14,14,0,23,0,0,0,1,0,0,0.29032258,10324
2023,"Jon Singleton","2 Tms",6,14,12,4,2,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0.333333333,10441
2023,"Enrique Hernandez","2 Tms",30,96,86,16,10,4,0,2,9,12,8,0,25,1,1,0,3,1,1,0.186046511,10472
2023,"Carlos Perez","OAK",8,23,21,3,2,0,0,1,2,1,2,0,6,0,0,0,1,0,0,0.142857142,10642
2023,"Gio Urshela","LAA",27,88,84,22,19,3,0,0,7,6,2,0,17,1,1,0,2,1,1,0.261904761,10681
2023,"Corey Dickerson","WSN",13,37,36,12,11,0,1,0,3,3,1,0,5,0,0,0,2,0,0,0.333333333,10762
2023,"Jurickson Profar","2 Tms",8,19,18,6,1,2,0,3,5,6,0,0,4,0,1,0,0,0,0,0.333333333,10815
2023,"Adam Duvall","BOS",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10950
2023,"Kevin Kiermaier","TOR",6,19,17,2,1,1,0,0,0,2,0,0,5,0,2,0,1,1,0,0.117647058,11038
2023,"Jonathan Schoop","DET",5,14,14,4,2,2,0,0,3,0,0,0,5,0,0,0,1,0,0,0.285714285,11265
2023,"Whit Merrifield","TOR",25,75,66,20,13,7,0,0,7,13,6,0,19,2,1,0,1,4,1,0.303030303,11281
2023,"Jake Marisnick","DET",2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,11339
2023,"Jesus Aguilar","OAK",1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,11342
2023,"Yasmani Grandal","CHW",38,114,100,31,27,2,0,2,9,8,11,0,21,2,1,0,2,0,0,0.31,11368
2023,"Gary Sanchez","SDP",29,88,80,14,9,0,0,5,7,16,5,0,25,2,1,0,2,0,0,0.175,11442
2023,"Mark Canha","2 Tms",18,52,42,14,11,3,0,0,5,5,4,0,7,4,2,0,1,3,0,0.333333333,11445
2023,"Henry Ramos","CIN",6,20,14,4,3,1,0,0,2,2,6,0,4,0,0,0,1,0,1,0.285714285,11481
2023,"Michael A. Taylor","MIN",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11489
2023,"Brandon Drury","LAA",7,23,21,3,3,0,0,0,1,1,0,0,10,1,1,0,0,0,0,0.142857142,11615
2023,"Elias Diaz","COL",7,15,14,3,2,1,0,0,2,1,0,0,7,1,0,0,0,0,0,0.214285714,11680
2023,"Nick Castellanos","PHI",9,32,30,8,3,1,0,4,6,6,2,0,11,0,0,0,0,1,0,0.266666666,11737
2023,"J.T. Realmuto","PHI",12,42,40,10,6,3,0,1,5,3,2,0,13,0,0,0,1,0,0,0.25,11739
2023,"Joc Pederson","SFG",4,6,6,3,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0.5,11899
2023,"Hanser Alberto","CHW",7,23,20,4,3,0,0,1,1,6,2,0,4,0,1,0,0,0,0,0.2,11902
2023,"Nick Martini","CIN",2,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,12005
2023,"Jon Berti","MIA",22,74,65,21,12,7,0,2,12,9,8,2,16,0,0,1,1,0,0,0.323076923,12037
2023,"Juniel Querecuto","STL",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12140
2023,"Max Kepler","MIN",12,36,32,4,2,0,0,2,3,5,3,0,9,0,1,0,2,0,0,0.125,12144
2023,"Nick Ahmed","ARI",20,32,29,8,5,2,1,0,5,5,3,0,7,0,0,0,0,1,0,0.275862068,12147
2023,"Eddie Rosario","ATL",47,144,131,35,21,7,0,7,19,28,13,0,37,0,0,0,3,0,0,0.267175572,12155
2023,"Ben Gamel","SDP",1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12160
2023,"Rougned Odor","SDP",8,21,17,6,3,3,0,0,4,4,4,0,5,0,0,0,0,1,0,0.352941176,12282
2023,"Jace Peterson","2 Tms",33,97,87,17,13,2,0,2,8,8,9,0,20,0,1,0,2,3,1,0.195402298,12325
2023,"Tommy La Stella","SEA",6,13,10,2,1,1,0,0,1,2,3,0,1,0,0,0,0,0,0,0.2,12371
