Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2023,"David Peralta","LAD",24,65,60,20,13,6,0,1,12,12,5,0,4,0,0,0,1,1,0,0.333333333,2136
2023,"Nelson Cruz","SDP",3,10,10,1,1,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0.1,2434
2023,"Manny Pina","OAK",1,4,4,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.25,2829
2023,"Tommy Pham","NYM",8,23,19,1,1,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0.052631578,2967
2023,"Eric Hosmer","CHC",4,11,10,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3516
2023,"Michael Brantley","HOU",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4106
2023,"Mike Moustakas","COL",4,5,4,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0.25,4892
2023,"Jason Heyward","LAD",9,27,24,5,1,1,0,3,6,5,2,0,8,0,1,0,0,0,0,0.208333333,4940
2023,"Robbie Grossman","TEX",17,56,50,15,8,5,1,1,8,7,5,0,13,0,1,0,0,0,0,0.3,5254
2023,"Sandy Leon","TEX",1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5273
2023,"Aaron Hicks","2 Tms",6,15,15,2,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0.133333333,5297
2023,"Brandon Crawford","SFG",37,123,105,20,15,5,0,0,12,9,13,1,29,3,2,0,1,0,0,0.19047619,5343
2023,"Ji Man Choi","2 Tms",3,3,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,5452
2023,"Abraham Almonte","NYM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486
2023,"Kyle Higashioka","NYY",41,145,138,28,19,6,0,3,12,19,6,0,43,0,1,0,3,0,0,0.20289855,5517
2023,"Avisail Garcia","MIA",2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5760
2023,"Wilmer Flores","SFG",8,9,6,1,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0.166666666,5827
2023,"Jean Segura","MIA",4,13,13,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.153846153,5933
2023,"Eduardo Escobar","2 Tms",31,108,100,22,15,2,3,2,14,6,6,0,26,0,1,1,2,1,1,0.22,6153
2023,"Martin Maldonado","HOU",1,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,6887
2023,"Travis d'Arnaud","ATL",1,5,5,4,3,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0.8,7739
2023,"Miguel Rojas","LAD",37,142,127,31,21,9,1,0,15,4,14,0,14,1,0,0,5,4,0,0.244094488,7802
2023,"Charlie Blackmon","COL",2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7859
2023,"Matt Carpenter","SDP",12,28,21,3,3,0,0,0,0,1,7,0,5,0,0,0,0,0,0,0.142857142,8090
2023,"Josh Harrison","PHI",6,12,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8202
2023,"Ehire Adrianza","ATL",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8418
2023,"Donovan Solano","MIN",10,21,19,7,7,0,0,0,2,3,2,0,3,0,0,0,1,0,0,0.368421052,8623
2023,"Elvis Andrus","CHW",29,111,102,26,19,4,0,3,13,14,6,0,15,3,0,0,2,4,0,0.25490196,8709
