,playerId,BattingOrder_vR,PA
0,1744,6,74
1,2136,6,105
2,2434,6,16
3,2967,6,28
4,3298,6,1
5,3516,6,21
6,4106,6,29
7,4314,6,131
8,4892,6,39
9,4940,6,118
10,4949,6,1
11,5038,6,26
12,5254,6,72
13,5273,6,4
14,5297,6,78
15,5343,6,7
16,5452,6,9
17,5486,6,11
18,5517,6,3
19,5760,6,24
20,5827,6,10
21,5933,6,139
22,6153,6,27
23,7739,6,42
24,7802,6,7
25,7859,6,2
26,8090,6,68
27,8202,6,10
28,8623,6,53
29,8709,6,4
30,9241,6,113
31,9256,6,4
32,9368,6,41
33,9627,6,26
34,9774,6,1
35,9874,6,40
36,9929,6,1
37,9952,6,16
38,10028,6,6
39,10047,6,28
40,10243,6,48
41,10264,6,64
42,10323,6,9
43,10324,6,165
44,10441,6,33
45,10472,6,76
46,10642,6,12
47,10681,6,44
48,10762,6,28
49,10815,6,9
50,10950,6,19
51,11038,6,5
52,11200,6,3
53,11265,6,10
54,11281,6,161
55,11339,6,4
56,11342,6,11
57,11368,6,93
58,11442,6,44
59,11445,6,105
60,11481,6,18
61,11489,6,0
62,11609,6,4
63,11615,6,83
64,11680,6,75
65,11737,6,16
66,11739,6,179
67,11899,6,6
68,11902,6,16
69,12005,6,3
70,12037,6,36
71,12144,6,29
72,12147,6,1
73,12155,6,138
74,12180,6,14
75,12282,6,24
76,12325,6,72
77,12434,6,1
78,12532,6,13
79,12552,6,108
80,12564,6,34
81,12775,6,1
82,12859,6,8
83,12976,6,1
84,12979,6,53
85,13066,6,60
86,13145,6,44
87,13152,6,1
88,13185,6,3
89,13301,6,8
90,13324,6,35
91,13329,6,26
92,13338,6,4
93,13499,6,8
94,13590,6,7
95,13602,6,50
96,13620,6,1
97,13621,6,31
98,13675,6,24
99,13757,6,44
100,13768,6,31
101,13770,6,5
102,13836,6,11
103,13853,6,75
104,14111,6,22
105,14128,6,18
106,14130,6,38
107,14161,6,16
108,14196,6,1
109,14274,6,47
110,14350,6,37
111,14387,6,41
112,14477,6,4
113,14566,6,11
114,14567,6,20
115,14691,6,60
116,14712,6,25
117,14735,6,0
118,14811,6,26
119,14813,6,50
120,14854,6,49
121,14894,6,17
122,14950,6,4
123,14968,6,42
124,15112,6,34
125,15117,6,19
126,15124,6,1
127,15149,6,43
128,15161,6,11
129,15194,6,60
130,15214,6,0
131,15223,6,68
132,15274,6,14
133,15279,6,46
134,15362,6,43
135,15464,6,62
136,15491,6,4
137,15518,6,1
138,15585,6,22
139,15653,6,125
140,15654,6,41
141,15672,6,6
142,15674,6,4
143,15676,6,99
144,15679,6,33
145,15711,6,80
146,15730,6,1
147,15794,6,6
148,15878,6,7
149,15937,6,36
150,15983,6,3
151,15986,6,9
152,15998,6,50
153,16153,6,8
154,16219,6,57
155,16252,6,38
156,16337,6,16
157,16357,6,19
158,16375,6,0
159,16376,6,47
160,16424,6,1
161,16426,6,31
162,16434,6,23
163,16442,6,7
164,16505,6,50
165,16512,6,77
166,16530,6,14
167,16535,6,34
168,16556,6,123
169,16572,6,42
170,16593,6,1
171,16622,6,7
172,16623,6,1
173,16680,6,2
174,16686,6,24
175,16725,6,3
176,16930,6,298
177,16939,6,11
178,16997,6,8
179,17022,6,6
180,17027,6,30
181,17128,6,75
182,17161,6,12
183,17232,6,2
184,17273,6,4
185,17321,6,3
186,17338,6,81
187,17452,6,33
188,17548,6,19
189,17620,6,2
190,17696,6,7
191,17710,6,11
192,17766,6,48
193,17838,6,38
194,17893,6,23
