,playerId,BattingOrder_vL,PA
0,1744,7,51
1,2136,7,3
2,2434,7,15
3,2829,7,4
4,2967,7,23
5,3516,7,7
6,4106,7,8
7,4314,7,3
8,4892,7,4
9,4940,7,10
10,5038,7,5
11,5235,7,1
12,5254,7,27
13,5297,7,15
14,5343,7,15
15,5452,7,3
16,5517,7,2
17,5760,7,8
18,5827,7,5
19,5933,7,26
20,6153,7,18
21,6184,7,2
22,7739,7,9
23,7802,7,16
24,8090,7,5
25,8202,7,30
26,8623,7,3
27,8709,7,22
28,9241,7,3
29,9256,7,20
30,9368,7,2
31,9627,7,16
32,9774,7,26
33,9874,7,4
34,9952,7,22
35,10028,7,10
36,10030,7,2
37,10047,7,6
38,10199,7,0
39,10200,7,1
40,10243,7,7
41,10323,7,0
42,10324,7,29
43,10441,7,9
44,10472,7,36
45,10642,7,13
46,10681,7,25
47,10762,7,3
48,10815,7,4
49,11038,7,3
50,11265,7,7
51,11281,7,23
52,11339,7,1
53,11342,7,1
54,11368,7,39
55,11442,7,33
56,11445,7,33
57,11481,7,4
58,11489,7,10
59,11615,7,6
60,11680,7,8
61,11737,7,3
62,11739,7,6
63,11899,7,1
64,11902,7,3
65,12005,7,5
66,12037,7,13
67,12140,7,2
68,12144,7,9
69,12147,7,65
70,12155,7,21
71,12158,7,1
72,12282,7,4
73,12325,7,8
74,12399,7,8
75,12434,7,35
76,12510,7,2
77,12532,7,1
78,12546,7,1
79,12552,7,1
80,12564,7,5
81,12775,7,1
82,12859,7,20
83,12977,7,1
84,12979,7,25
85,12984,7,3
86,13066,7,14
87,13185,7,22
88,13265,7,26
89,13324,7,34
90,13338,7,10
91,13355,7,4
92,13359,7,3
93,13419,7,1
94,13499,7,31
95,13590,7,2
96,13602,7,21
97,13620,7,6
98,13621,7,25
99,13675,7,12
100,13757,7,27
101,13768,7,6
102,13770,7,4
103,13788,7,3
104,13836,7,17
105,13853,7,7
106,14111,7,5
107,14128,7,20
108,14130,7,1
109,14161,7,1
110,14350,7,2
111,14387,7,3
112,14477,7,6
113,14566,7,1
114,14567,7,2
115,14691,7,6
116,14712,7,36
117,14735,7,0
118,14811,7,3
119,14813,7,17
120,14854,7,11
121,14894,7,2
122,14968,7,31
123,15104,7,5
124,15112,7,5
125,15117,7,16
126,15124,7,1
127,15149,7,34
128,15161,7,26
129,15194,7,7
130,15214,7,15
131,15223,7,24
